date,wrp,sarscov2,bcov_recovery,pmmov,flow
2020-10-21,Stickney WS,11630.053959534363,0.012057433224554976,105920859.87466228,442.0
2020-10-28,Calumet,80702.8190765703,0.030588822528648932,86964557.11115506,189.0
2020-10-28,OBrien,88467.70390943771,0.008966217770027374,62818286.1763292,183.0
2020-10-28,Stickney SWS,28658.940349612592,0.006685127274148253,120717084.90539391,509.0
2020-10-28,Stickney WS,126488.31773912052,0.018070414466750458,289490088.88431585,427.0
2020-11-04,Calumet,122126.72651045528,0.010741667199869607,188323046.88995647,124.0
2020-11-04,OBrien,1238255.7991098484,0.03799430561708582,619096587.1646168,163.0
2020-11-04,Stickney SWS,44537.737597969644,0.0012639364565071821,80298381.78176989,221.0
2020-11-04,Stickney WS,447069.4290628142,0.015505449143636808,362934353.3442917,318.0
2020-11-11,Calumet,161160.3123667862,0.020876423466983512,159904845.72540277,224.0
2020-11-11,OBrien,223327.23786767136,0.026756067051083788,185338549.68993607,178.0
2020-11-11,Stickney SWS,185678.15241354008,0.0183432128837051,163571321.95870227,217.0
2020-11-11,Stickney WS,13399.611627828635,0.003345421368617318,78259226.54700257,278.0
2020-11-18,Calumet,44292.76764217517,0.0004423447237776868,72790247.29291749,176.0
2020-11-18,OBrien,356152.1161455371,0.012298767699859606,201429932.8831456,150.0
2020-11-18,Stickney SWS,408056.7536614409,0.047433540514759565,602606599.4506633,245.0
2020-11-18,Stickney WS,54691.49005129603,0.00604913426405236,96771790.78104208,125.0
2020-11-24,Calumet,773473.5100433567,0.025735625211142605,572448134.5294478,194.0
2020-11-24,OBrien,2058459.7664735173,0.07928382420869613,935075083.4342842,268.0
2020-11-24,Stickney SWS,294329.91666027246,0.007469629654221775,187879176.51622856,348.0
2020-11-24,Stickney WS,1943344.8810731284,0.06487377319836356,923595309.4252044,367.0
2020-12-02,Calumet,321796.4432042542,0.026853887624841543,671875046.9844354,146.0
2020-12-02,OBrien,672475.3233829571,0.044110359553964744,1025394345.069546,152.0
2020-12-02,Stickney SWS,265019.84675652825,0.034738689280592705,1885049555.464096,186.0
2020-12-02,Stickney WS,416007.2028070284,0.05326366005641961,1575038947.21258,148.0
2020-12-09,Calumet,140088.4012662181,0.017985220053110824,226647766.1741577,138.0
2020-12-09,OBrien,475059.0262035506,0.03714782656277686,438402566.6065338,144.0
2020-12-09,Stickney SWS,76369.61662185141,0.004523199418352477,129375927.949334,221.0
2020-12-09,Stickney WS,241536.51383037103,0.01338120025248182,216907587.1939042,179.0
2020-12-16,Calumet,809501.6110760996,0.14457570948128143,2015230592.5424569,242.0
2020-12-16,Egan,566994.0533362447,0.05581338482433598,1231233583.228446,22.8
2020-12-16,Hanover,453454.1477071191,0.045754984842124063,960426893.1432517,8.2
2020-12-16,Kirie,636937.247476132,0.05646569829614467,1154877631.1209953,34.41
2020-12-16,Lemont,831315.9685234418,0.048105065175510525,977778339.5226876,2.34
2020-12-16,OBrien,1453563.3513282984,0.13487976185064968,1971161231.4643688,195.0
